year,epa_region,smoke_days
2006,0,23.47650688
2007,0,32.51688065
2008,0,30.22309151
2009,0,22.32146249
2010,0,25.44102931
2011,0,43.02702703
2012,0,58.91891892
2013,0,43.76600284
2014,0,30.00189753
2015,0,39.49525842
2016,0,33.63347558
2017,0,49.72949265
2018,0,53.68183973
2019,0,45.32425445
2020,0,46.98316946
2006,1,8.576271186440678
2007,1,11.788135593220339
2008,1,3.8135593220338984
2009,1,7.067796610169491
2010,1,21.550847457627118
2011,1,13.703389830508474
2012,1,20.593220338983052
2013,1,19.88135593220339
2014,1,23.95762711864407
2015,1,31.949152542372882
2016,1,13.194915254237289
2017,1,33.24576271186441
2018,1,28.771186440677965
2019,1,35.01640876371201
2020,1,14.253385319961035
2006,2,10.3
2007,2,17.32
2008,2,8.07
2009,2,6.45
2010,2,23.17
2011,2,18.72
2012,2,30.27
2013,2,18.74
2014,2,23.28
2015,2,25.89
2016,2,14.23
2017,2,36.4
2018,2,35.09
2019,2,31.137503274591086
2020,2,13.307923929390958
2006,3,11.855345911949685
2007,3,22.9874213836478
2008,3,12.465408805031446
2009,3,4.49685534591195
2010,3,20.270440251572328
2011,3,24.660377358490567
2012,3,33.0251572327044
2013,3,13.446540880503145
2014,3,17.87421383647799
2015,3,20.345911949685533
2016,3,12.69811320754717
2017,3,27.90566037735849
2018,3,29.553459119496857
2019,3,33.030572078100526
2020,3,13.216281744818318
2006,4,19.47410358565737
2007,4,41.56175298804781
2008,4,22.679282868525895
2009,4,16.339321357285428
2010,4,29.844621513944222
2011,4,66.54382470119522
2012,4,44.864541832669325
2013,4,28.183266932270918
2014,4,23.231536926147704
2015,4,21.687250996015937
2016,4,27.741035856573706
2017,4,33.689243027888445
2018,4,43.52390438247012
2019,4,46.63756086928604
2020,4,23.564218408419222
2006,5,27.401515151515152
2007,5,42.895833333333336
2008,5,33.14393939393939
2009,5,34.10227272727273
2010,5,40.115530303030305
2011,5,41.31060606060606
2012,5,76.64583333333333
2013,5,56.68181818181818
2014,5,40.77840909090909
2015,5,56.08522727272727
2016,5,40.83522727272727
2017,5,58.202651515151516
2018,5,58.51704545454545
2019,5,44.367603867352095
2020,5,28.105777314061683
2006,6,17.594516594516595
2007,6,20.519368723098996
2008,6,20.36728837876614
2009,6,19.565028901734102
2010,6,24.926829268292682
2011,6,76.35724533715926
2012,6,67.44189383070301
2013,6,50.4648493543759
2014,6,22.18077474892396
2015,6,26.536585365853657
2016,6,31.32855093256815
2017,6,43.998565279770446
2018,6,44.98565279770445
2019,6,48.46006203830354
2020,6,36.423507803506965
2006,7,26.311855670103093
2007,7,37.54639175257732
2008,7,36.376288659793815
2009,7,27.190721649484537
2010,7,30.49742268041237
2011,7,59.154639175257735
2012,7,99.84278350515464
2013,7,67.49742268041237
2014,7,45.50257731958763
2015,7,55.3041237113402
2016,7,52.56185567010309
2017,7,63.61082474226804
2018,7,71.91752577319588
2019,7,53.855574485934895
2020,7,42.5874909792413
2006,8,29.896260554885405
2007,8,42.06755126658625
2008,8,36.98552472858866
2009,8,25.40289505428227
2010,8,22.468033775633295
2011,8,27.14354644149578
2012,8,66.42460796139927
2013,8,47.117008443908325
2014,8,34.360675512665864
2015,8,49.141133896260556
2016,8,39.43425814234017
2017,8,57.834740651387214
2018,8,63.881785283474066
2019,8,28.174323114269058
2020,8,45.66943708050397
2006,9,18.429423459244532
2007,9,21.081510934393638
2008,9,35.53081510934393
2009,9,19.600397614314115
2010,9,12.178423236514522
2011,9,16.92047713717694
2012,9,22.938369781312126
2013,9,31.54671968190855
2014,9,17.66733067729084
2015,9,29.475149105367795
2016,9,31.41351888667992
2017,9,43.013916500994036
2018,9,46.538767395626245
2019,9,33.910548678528045
2020,9,55.21117703033655
2006,10,36.30203045685279
2007,10,31.74607329842932
2008,10,46.98984771573604
2009,10,26.967005076142133
2010,10,22.403553299492387
2011,10,29.631979695431472
2012,10,57.03299492385787
2013,10,45.380710659898476
2014,10,37.69543147208122
2015,10,53.246192893401016
2016,10,27.050761421319798
2017,10,63.9263959390863
2018,10,67.14467005076142
2019,10,42.88383844879451
2020,10,38.29591865984445
