"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","16.2393960452422","66","14.0342353128991","18.6478051450465"
"2001","15.8491677660584","66","13.6397817460317","17.8534755704821"
"2002","15.2656381478135","66","13.4482529267466","17.0214660876758"
"2003","14.7285063018424","66","12.810153256705","16.6892816091954"
"2004","13.8128971552701","66","11.8938928571428","15.9133333333333"
"2005","16.2408447790937","66","14.0385511937132","18.7241666666667"
"2006","13.4483149403353","66","11.4898683722655","14.9716071428571"
"2007","14.5594281295653","66","13.1102199792961","16.3455913978494"
"2008","12.6008036150787","66","10.8984478021978","14.18611863711"
"2009","11.4922279954815","66","9.93790507971821","12.955386709962"
"2010","12.5297846044666","66","10.712349936143","14.136935483871"
"2011","11.3561949738495","66","9.82218797859135","12.7316129032258"
"2012","10.4602128609645","66","9.1196406059643","12.1019086021505"
"2013","10.0361830962502","66","8.83737135176651","11.5503992531383"
"2014","10.3620914910398","66","8.70558799950814","11.9097059505961"
"2015","9.65331703509492","66","8.12807291666667","11.1750165896905"
"2016","8.42869320302111","66","7.26640221774194","9.75046583850932"
"2017","8.23732887679992","66","7.21547460140897","9.54312602627258"
"2018","8.40760805734669","66","7.06016009852217","9.68395593869732"
"2019","8.32777463630004","66","7.05811827956989","9.67584621150963"
