"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","12.6839712893926","44","9.88852428624397","15.4882192247855"
"2001","12.8915747137667","44","10.2687037037037","15.7882351186159"
"2002","12.2673202761298","44","9.79546592775041","15.6430173992674"
"2003","12.0587404967809","44","9.12218390804598","15.1971076755938"
"2004","10.8212770769907","44","8.17333333333333","13.6635639025725"
"2005","12.8262120416226","44","9.62410714285714","16.0074593896028"
"2006","11.175184378782","44","8.63942528735632","13.2182838608466"
"2007","11.7860436221965","44","9.56973316912972","14.2864479050797"
"2008","10.7638513299059","44","9.46192528735632","12.6473047830923"
"2009","10.017947231768","44","8.72878197997775","11.5525862595645"
"2010","9.66069766886854","44","8.17155172413793","11.5970140433815"
"2011","9.34638601071819","44","7.94084126984127","10.8957471264368"
"2012","9.1553093567894","44","7.82415502537689","10.6751966470682"
"2013","8.54823675690664","44","7.44024731182796","10.1086827956989"
"2014","8.89904609827152","44","6.88788530913531","10.2385463192721"
"2015","8.35341170063651","44","6.62725435669262","9.72594152232639"
"2016","7.36159709947307","44","6.2101121616611","8.25292176492399"
"2017","7.38221342703836","44","6.06293724474759","8.12288654060067"
"2018","8.01352412586328","44","6.54302368194136","9.07450809505157"
"2019","7.77597901294357","44","6.77832086569299","8.85910906298003"
