"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.4990802133177","406","8.69890360983103","18.0403141534392"
"2001","13.2288260181189","406","8.64706896551724","17.3009420189099"
"2002","12.8306926148069","406","8.56924369747899","16.5679082884116"
"2003","12.3418604114124","406","7.91803534061846","16.2325533661741"
"2004","12.0153421513651","406","7.62897557114743","15.649820639131"
"2005","12.8712496287641","406","7.73503692544015","16.8441860665289"
"2006","11.6070725674104","406","7.72440476190476","14.9692722530528"
"2007","11.9210508524421","406","7.47934970014993","15.5574137931034"
"2008","10.880134422911","406","7.36395088458075","13.6864285714286"
"2009","9.87712801042124","406","6.93023690078038","12.3864690264315"
"2010","9.97405336188448","406","6.64833333333333","13.1887320512369"
"2011","9.7949009578659","406","6.65758620689655","12.3094623655914"
"2012","9.16436004784208","406","6.64199862637363","11.3818607467801"
"2013","8.96182690774094","406","6.3830285410449","11.3362541073384"
"2014","8.8547021678781","406","6.1104866791581","11.2172089358547"
"2015","8.52105461480564","406","6.04511813537676","10.7503457367796"
"2016","7.74171302777503","406","5.64188994344191","9.56534760845384"
"2017","8.05648127045978","406","5.82548757027454","9.94577956989247"
"2018","8.21781340498443","406","6.13301167964405","10.5466104460056"
"2019","7.65357315097588","406","5.78916666666667","9.5360808967636"
