"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","13.8694439707466","82","10.9100544423684","16.3766954950017"
"2001","14.0918817613016","82","11.484520389911","16.5767041514361"
"2002","13.4550202627805","82","10.8771724598929","15.8785119047619"
"2003","13.3208384968713","82","10.2684875691881","15.6748148148148"
"2004","12.7937505435599","82","9.9638907967033","15.1568829924864"
"2005","13.6822963602582","82","10.5904900120661","16.4922767332067"
"2006","11.8680126058418","82","8.88217741935484","14.4016931765754"
"2007","12.4097967691697","82","9.36350574712644","15.0615740740741"
"2008","11.332353374048","82","8.83444413919414","13.4937463535866"
"2009","9.92416064697139","82","7.61154953917051","12.1544801968749"
"2010","9.96126678368915","82","7.56596816976127","12.5360259034444"
"2011","10.0165583481346","82","7.91032088122605","12.1957338851735"
"2012","9.28109467623452","82","7.25399796069707","11.4517370069544"
"2013","8.80298222241437","82","6.99568965517241","11.1387309341584"
"2014","8.67564522337699","82","6.23980876325403","10.5794031858658"
"2015","8.69571481921252","82","6.49301282051282","10.4132444929213"
"2016","7.4801017924501","82","5.64188994344191","9.2047709959123"
"2017","7.59816426240252","82","5.17911860005515","9.77438988095238"
"2018","7.44913542801438","82","5.68567733990148","8.86143921832328"
"2019","7.31826756270548","82","5.62346591217499","9.00128105590061"
