"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile"
"2000","14.0811824283913","49","7.85804675499232","22.5069282343334"
"2001","14.4285099788189","49","8.05322128851541","22.4918091168091"
"2002","14.9501872487483","49","9.07257518796992","23.2223025583982"
"2003","12.6446064371118","49","7.33706989247312","19.3102826865142"
"2004","12.2441711586283","49","6.98880952380952","18.8581625004939"
"2005","11.6368844620649","49","6.75833333333333","17.9631981723383"
"2006","11.5323514702565","49","6.84721726190476","17.6173252688172"
"2007","11.615475829379","49","6.1870467032967","18.8772903726708"
"2008","11.6841720062284","49","7.13627529553196","16.3910237778609"
"2009","10.6171166980322","49","5.81666666666666","16.0410187245086"
"2010","9.14311743964595","49","5.93184523809524","13.5757675194661"
"2011","9.88376411720824","49","6.24065305945928","15.4045512820513"
"2012","9.31153642493988","49","5.87375305250305","14.5028859103859"
"2013","10.3749978469197","49","6.52187403993856","15.9259523809524"
"2014","9.58628538202587","49","5.47295933535064","14.7598698449591"
"2015","9.38735461790955","49","5.21828671328671","14.963867604316"
"2016","9.09353571471001","49","5.91969209795899","12.9816666666667"
"2017","10.0852942545952","49","7.09358211233211","15.0319362048366"
"2018","11.399315177886","49","6.99425597264783","17.135119047619"
"2019","8.07469972008644","49","5.19202998088868","11.3902202447164"
