region,ave_2010_2019,ave_2000_2009,ave_1990_1999,burn_type
EA,101805,147850,124827.5,wild
SO,281613,355885,318749,wild
NO,443894,271451,357672.5,wild
RM,470681,320630,395655.5,wild
NR,480527,514615,497571,wild
SW,628571,482787,555679,wild
NW,882907,549684,716295.5,wild
GB,1084932,795466,940199,wild
SA,1309776,1157655,1233715.5,wild
AK,1287894,1666461,1477177.5,wild
AK,9892,22754,16323,prescribed
SO,17942,15370,16656,prescribed
NO,58020,44330,51175,prescribed
GB,65811,49199,57505,prescribed
NR,77121,67922,72521.5,prescribed
RM,91605,93684,92644.5,prescribed
NW,128077,100541,114309,prescribed
SW,169118,164398,166758,prescribed
EA,202537,270671,236604,prescribed
SA,1519264,2490474,2004869,prescribed
